entity_id,type,code,canonical_name,tier,market_cap_bil,aliases,parent,gics1,gics2,gics3,sources
TICKER:BCG,TICKER,BCG,CTCP Tập đoàn Bamboo Capital,1,2200.53,CTCP Tập đoàn Bamboo Capital | Bamboo Capital,,Công nghiệp,Tư liệu sản xuất,Xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BCM,TICKER,BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,1,40365.0,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP | Đầu tư và Phát triển Công nghiệp Becamex | Becamex | Becamex IDC | Becamex Group | Becamex Tokyu,,Bất động sản,Quản lý và phát triển bất động sản,Vận hành bất động sản,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BCR,TICKER,BCR,CTCP BCG Land,1,473.8,CTCP BCG Land | BCG Land,,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản phức hợp,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BDG,TICKER,BDG,CTCP May mặc Bình Dương,1,649.76,CTCP May mặc Bình Dương | May mặc Bình Dương,,Hàng tiêu dùng không thiết yếu,Hàng tiêu dùng lâu bền và trang phục,"Dệt may & Trang phục, phụ kiện",company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BDT,TICKER,BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,1,335.78,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp | Xây lắp và Vật liệu Xây dựng Đồng Tháp,,Nguyên vật liệu,Vật liệu xây dựng,Vật liệu xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BDW,TICKER,BDW,CTCP Cấp thoát nước Bình Định,1,316.48,CTCP Cấp thoát nước Bình Định | Cấp thoát nước Bình Định,,Dịch vụ công cộng,Dịch vụ công cộng,Nước,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BEL,TICKER,BEL,CTCP Điện tử Biên Hòa,2,162.0,CTCP Điện tử Biên Hòa | Điện tử Biên Hòa,,Bất động sản,Quản lý và phát triển bất động sản,Vận hành bất động sản,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BFC,TICKER,BFC,CTCP Phân bón Bình Điền,1,2641.16,CTCP Phân bón Bình Điền | Phân bón Bình Điền,,nan,nan,nan,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BGE,TICKER,BGE,CTCP BCG Energy,1,1971.0,CTCP BCG Energy | BCG Energy,,Dịch vụ công cộng,Dịch vụ công cộng,Điện,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BGW,TICKER,BGW,CTCP Nước sạch Bắc Giang,2,290.39,CTCP Nước sạch Bắc Giang | Nước sạch Bắc Giang,,Dịch vụ công cộng,Dịch vụ công cộng,Nước,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BHA,TICKER,BHA,CTCP Thủy điện Bắc Hà,1,1366.2,CTCP Thủy điện Bắc Hà | Thủy điện Bắc Hà,,Dịch vụ công cộng,Dịch vụ công cộng,Điện,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BHI,TICKER,BHI,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,1,910.0,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội | Bảo hiểm Sài Gòn - Hà Nội,,Tài chính,Bảo hiểm,Bảo hiểm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BHN,TICKER,BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,1,7104.67,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội | Bia - Rượu - Nước giải khát Hà Nội | Habeco,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Đồ uống,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BIC,TICKER,BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,1,4263.61,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam | Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,,Tài chính,Bảo hiểm,Bảo hiểm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
